npm warn exec The following package was not found and will be installed: serve@14.2.5
 INFO  Accepting connections at http://localhost:3002
 HTTP  2/4/2026 4:51:49 AM ::1 GET /
 HTTP  2/4/2026 4:51:49 AM ::1 Returned 200 in 13 ms
 HTTP  2/4/2026 4:51:49 AM ::1 GET /static/css/main.f855e6bc.css
 HTTP  2/4/2026 4:51:49 AM ::1 Returned 200 in 4 ms
 HTTP  2/4/2026 4:51:49 AM ::1 GET /static/js/main.9399ce26.js
 HTTP  2/4/2026 4:51:49 AM ::1 Returned 200 in 3 ms
 HTTP  2/4/2026 4:51:49 AM ::1 GET /static/media/logo.6ce24c58023cc2f8fd88fe9d219db6c6.svg
 HTTP  2/4/2026 4:51:49 AM ::1 Returned 200 in 3 ms
 HTTP  2/4/2026 4:51:50 AM ::1 GET /favicon.ico
 HTTP  2/4/2026 4:51:50 AM ::1 Returned 200 in 2 ms
 HTTP  2/4/2026 4:51:55 AM ::1 GET /static/css/main.f855e6bc.css
 HTTP  2/4/2026 4:51:55 AM ::1 Returned 304 in 1 ms
 HTTP  2/4/2026 4:51:55 AM ::1 GET /static/js/main.9399ce26.js.map
 HTTP  2/4/2026 4:51:55 AM ::1 Returned 200 in 4 ms
 HTTP  2/4/2026 4:51:56 AM ::1 GET /static/css/main.f855e6bc.css.map
 HTTP  2/4/2026 4:51:56 AM ::1 Returned 200 in 2 ms
 HTTP  2/4/2026 4:52:16 AM ::1 GET /
 HTTP  2/4/2026 4:52:16 AM ::1 Returned 304 in 1 ms
 HTTP  2/4/2026 4:52:16 AM ::1 GET /static/js/main.9399ce26.js
 HTTP  2/4/2026 4:52:16 AM ::1 Returned 304 in 2 ms
 HTTP  2/4/2026 4:52:16 AM ::1 GET /static/css/main.f855e6bc.css
 HTTP  2/4/2026 4:52:16 AM ::1 Returned 304 in 1 ms
 HTTP  2/4/2026 4:52:16 AM ::1 GET /static/css/main.f855e6bc.css.map
 HTTP  2/4/2026 4:52:16 AM ::1 Returned 304 in 1 ms
 HTTP  2/4/2026 4:52:16 AM ::1 GET /static/media/logo.6ce24c58023cc2f8fd88fe9d219db6c6.svg
 HTTP  2/4/2026 4:52:16 AM ::1 Returned 304 in 1 ms
 HTTP  2/4/2026 4:52:16 AM ::1 GET /static/js/main.9399ce26.js.map
 HTTP  2/4/2026 4:52:16 AM ::1 Returned 304 in 2 ms
 HTTP  2/4/2026 4:52:16 AM ::1 GET /favicon.ico
 HTTP  2/4/2026 4:52:16 AM ::1 Returned 304 in 1 ms
Killed
