 INFO  Accepting connections at http://localhost:3005
 HTTP  2/4/2026 5:30:30 AM ::1 GET /
 HTTP  2/4/2026 5:30:30 AM ::1 Returned 200 in 13 ms
 HTTP  2/4/2026 5:30:30 AM ::1 GET /static/js/main.76d2e93c.js
 HTTP  2/4/2026 5:30:30 AM ::1 Returned 200 in 6 ms
 HTTP  2/4/2026 5:30:30 AM ::1 GET /static/css/main.d34a8ff4.css
 HTTP  2/4/2026 5:30:30 AM ::1 Returned 200 in 2 ms
 HTTP  2/4/2026 5:30:30 AM ::1 GET /favicon.ico
 HTTP  2/4/2026 5:30:30 AM ::1 Returned 200 in 2 ms
 HTTP  2/4/2026 5:31:05 AM ::1 GET /sectors/favicon.ico
 HTTP  2/4/2026 5:31:05 AM ::1 Returned 200 in 2 ms
